id,screen_name,created_at,retweeted,text
1402361558093676545,djkhaled,2021-06-08 20:27:04+00:00,False,"🦩🔑LINK IN MY BIO AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY

Introducing the Second Drop of #DGxKhaled, the… https://t.co/CSEgZZeHIw"
1402300032561430530,djkhaled,2021-06-08 16:22:35+00:00,False,"🦩🔑l AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY

Introducing the Second Drop of #DGxKhaled, the… https://t.co/oLkK6OA8BP"
1402297620652036100,djkhaled,2021-06-08 16:13:00+00:00,False,"Introducing the Second Drop of #DGxKhaled, the #DolceGabbanaSpecial Collection created in collaboration with… https://t.co/PK4h9UAsOH"
1402297253490999299,djkhaled,2021-06-08 16:11:33+00:00,False,🦩🔑 link in my bio https://t.co/l6pBZdkUPx
1402297249099571203,djkhaled,2021-06-08 16:11:32+00:00,False,"LINK IN MY BIO NOW ! 🦩🔑
Introducing the Second Drop of #DGxKhaled, the #DolceGabbanaSpecial Collection created in c… https://t.co/srRosU7GSZ"
1402269794334916620,djkhaled,2021-06-08 14:22:26+00:00,False,"#EVERYCHANCEIGET 
#IDIDIT
#KHALEDKHALED"
1402040105666289664,djkhaled,2021-06-07 23:09:44+00:00,False,"Something coming Tommorow 🦩
KHALED KHALED WE THE BEST IN ALL CATEGORIES 🔑 https://t.co/aLotywbesy"
1401945863828672517,djkhaled,2021-06-07 16:55:15+00:00,False,"#EVERYCHANCEIGET #KEEPGOING and #IDIDIT CONTEST COMING SOON . It’s going be so much fun ! #
#KHALEDKHALED certified… https://t.co/CGdldsAFi0"
1401410436369727488,djkhaled,2021-06-06 05:27:39+00:00,False,"Every chance I get is the biggest record out,  for the summer and year

@djkhaled @lilbaby @lildurk @wethebestmusic… https://t.co/oEbLSp3yts"
1401292228841123844,djkhaled,2021-06-05 21:37:56+00:00,False,#EVERYCHANCEIGET
1399400506041245706,djkhaled,2021-05-31 16:20:54+00:00,False,#IDIDIT ON @youtubemusic now https://t.co/BxhekyiaZq
1398745798402318337,djkhaled,2021-05-29 20:59:20+00:00,False,"😳Push play unreleased @capletonmusic vocals 🔥
I had fireman cut 2 verses On #WHEREYOUCOMEFROM just in case anyone a… https://t.co/6Cuk5pvG1c"
1398718108270006272,djkhaled,2021-05-29 19:09:18+00:00,False,"This ain’t normal ting , I never been been normal , MAN DIFFERENT #KHALEDKHALED im just getting started 🔑… https://t.co/aZ9fHCC52W"
1398676348063809545,djkhaled,2021-05-29 16:23:22+00:00,False,"If you haven’t tried @budlight Platinum Seltzer, you’re missing out on the best seltzer in the game. Made with agav… https://t.co/BnsOMKvZzc"
1398479238081265671,djkhaled,2021-05-29 03:20:07+00:00,False,"Did you see the #IDIDIT VIDEO ?🤯🔥
🎥 @davemeyers 🍿
@djkhaled @theestallion @lilbaby @dababy 
NOW ON @youtubemusic… https://t.co/JRfHvEzqvh"
1398479206380720130,djkhaled,2021-05-29 03:19:59+00:00,False,"Did you see the #IDIDIT VIDEO ?🤯🔥
🎥 @davemeyers 🍿
@djkhaled @theestallion @lilbaby @dababy 
NOW ON @youtubemusic… https://t.co/IG8U9hGpcu"
1398477576402882561,djkhaled,2021-05-29 03:13:31+00:00,False,"Did your see the #IDIDIT VIDEO ?🤯🔥
🎥 @davemeyers 🍿
@djkhaled @theestallion @lilbaby @dababy 
NOW ON @youtubemusic… https://t.co/HQXca0p8KX"
1398476744957562880,djkhaled,2021-05-29 03:10:13+00:00,False,"#IDIDIT VIDEO 🎥 @davemeyers 🍿
@djkhaled @theestallion @lilbaby @dababy 
NOW ON @youtubemusic @vevo 
📸@emiliocoochie https://t.co/UTuImHCVLI"
1398461112018952196,djkhaled,2021-05-29 02:08:05+00:00,False,Looking at treatments that’s a special rec  the treatment got be special https://t.co/B5I5bOY0tp
1398403134641348613,djkhaled,2021-05-28 22:17:43+00:00,False,"#IDIDIT VIDEO NOW ON @youtubemusic @vevo 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 🔥🔥🔥🔥🔥🔥🔥🔥
@djkhaled @theestallion @lilbaby @dababy @postmalone https://t.co/4aSxOdNuCx"
1398402071460823042,djkhaled,2021-05-28 22:13:29+00:00,False,"#IDIDIT VIDEO NOW ON @youtubemusic @vevo 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 🎸 🎸🎸🎸🎸🎸🎸
@djkhaled @theestallion @lilbaby @dababy @postmalone https://t.co/bVwYGnOcZp"
1398399276271685634,djkhaled,2021-05-28 22:02:23+00:00,False,#IDIDIT VIDEO NOW ON @youtubemusic @vevo 🔥 https://t.co/VmD79qpYCA
